"NOMPROV","PROV","NOMDEPTO","DEPTO","FRAC","RADIO","TIPO","LINK","OBS2020","link_chr","codigo","indice_envejecimiento","pct_pob_65_mas","pct_pob_80_mas","tasa_actividad","tasa_empleo","pct_sin_agua_red","pct_desague_sin_red"
"NEUQUEN","58","Confluencia","035","34","17","U","580353417",NA,"580353417",580353417,69.57,13.33,1.83,68.83,64.17,1.6,1.6
"NEUQUEN","58","Confluencia","035","34","16","U","580353416",NA,"580353416",580353416,76.42,12.52,1.73,66.61,62.36,2.8,4.3
"NEUQUEN","58","Confluencia","035","13","15","U","580351315",NA,"580351315",580351315,76.13,12.83,2.17,67.31,63.33,4.9,3.1
"NEUQUEN","58","Confluencia","035","15","05","U","580351505",NA,"580351505",580351505,84.07,16.46,2.43,63.08,55.06,2.2,2.7
"NEUQUEN","58","Confluencia","035","33","15","U","580353315",NA,"580353315",580353315,18.32,4.13,0.6,71.7,65.53,10.4,13.1
"NEUQUEN","58","Confluencia","035","13","14","U","580351314",NA,"580351314",580351314,108.47,16.52,3.48,64.77,60.27,2.3,4.1
"NEUQUEN","58","Confluencia","035","15","18","U","580351518",NA,"580351518",580351518,74.42,12.78,2.13,65.09,60.82,1.3,1
"NEUQUEN","58","Confluencia","035","15","07","U","580351507",NA,"580351507",580351507,69.78,13.08,2.27,63.35,58.92,1.6,8.6
"NEUQUEN","58","Confluencia","035","15","13","U","580351513",NA,"580351513",580351513,86.49,13.94,2.4,67.22,61.99,3,2.8
"NEUQUEN","58","Confluencia","035","11","05","U","580351105",NA,"580351105",580351105,9.51,3.01,0.17,64.36,59.85,10.9,27.2
"NEUQUEN","58","Confluencia","035","13","16","U","580351316",NA,"580351316",580351316,80.77,11.86,1.69,70.24,65.43,1.8,3.1
"NEUQUEN","58","Confluencia","035","13","19","U","580351319",NA,"580351319",580351319,94.05,16.12,2.65,68.2,61.89,4,2.7
"NEUQUEN","58","Confluencia","035","34","18","U","580353418",NA,"580353418",580353418,101.47,14.84,3.44,65.17,61.44,2.5,2
"NEUQUEN","58","Confluencia","035","14","10","U","580351410",NA,"580351410",580351410,56.84,11.44,1.27,66.58,63.5,2.6,5.3
"NEUQUEN","58","Confluencia","035","14","13","U","580351413",NA,"580351413",580351413,30.51,6.28,1.4,65.13,59.51,2.9,10.4
"NEUQUEN","58","Confluencia","035","14","14","U","580351414",NA,"580351414",580351414,15.86,4.85,0.49,67.43,63.98,2.1,18.6
"NEUQUEN","58","Confluencia","035","15","06","U","580351506",NA,"580351506",580351506,110,18.5,2.39,62.37,58.7,2,3.2
"NEUQUEN","58","Confluencia","035","14","16","U","580351416",NA,"580351416",580351416,34.9,8.29,1.11,67.14,61.75,2.3,6.3
"NEUQUEN","58","Confluencia","035","14","17","U","580351417",NA,"580351417",580351417,18.6,5.11,0.96,76.24,73.43,2.4,47.1
"NEUQUEN","58","Confluencia","035","15","08","U","580351508",NA,"580351508",580351508,46.15,10.71,0.19,67.15,64.63,2.7,1.3
"NEUQUEN","58","Confluencia","035","15","14","U","580351514",NA,"580351514",580351514,85.71,13.87,1.73,65.15,62.41,3.2,3.7
"NEUQUEN","58","Confluencia","035","15","20","U","580351520",NA,"580351520",580351520,89.01,14.7,1.63,67.16,62.5,0.9,2.8
"NEUQUEN","58","Confluencia","035","14","15","U","580351415",NA,"580351415",580351415,24.3,6.28,0.82,66.67,62.21,1,3.5
"NEUQUEN","58","Confluencia","035","14","11","U","580351411",NA,"580351411",580351411,57.49,11.5,2.16,67.06,62.5,2.2,1.9
"NEUQUEN","58","Confluencia","035","14","12","U","580351412",NA,"580351412",580351412,29.66,5.68,0.49,69.57,62.85,3.6,5.7
"NEUQUEN","58","Confluencia","035","11","06","U","580351106",NA,"580351106",580351106,8.38,2.97,0.4,77.31,74.63,2.5,2.5
"NEUQUEN","58","Confluencia","035","15","09","U","580351509",NA,"580351509",580351509,83.82,12.49,1.97,65.06,60.74,1.1,1.9
"NEUQUEN","58","Confluencia","035","11","07","U","580351107",NA,"580351107",580351107,13.73,3.7,0.3,72.22,66.97,0.5,0
"NEUQUEN","58","Confluencia","035","15","10","U","580351510",NA,"580351510",580351510,75.24,13.32,1.85,68.61,64.39,2.7,5.1
"NEUQUEN","58","Confluencia","035","15","19","U","580351519",NA,"580351519",580351519,60.77,12.56,1.75,68.29,63.42,2.1,1.7
"NEUQUEN","58","Confluencia","035","14","18","U","580351418",NA,"580351418",580351418,57.69,10.45,1.39,71.31,67.93,7.5,12.1
"NEUQUEN","58","Confluencia","035","20","06","M","580352006",NA,"580352006",580352006,94.62,15.36,2.62,61.11,58.64,94.5,98.4
