"EDICION","VERSION","TIPO_GEO","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","CVE_MZA","TIPOMZA","AMBITO","cve_ent","cve_mun","cve_loc","cve_ageb","cve_mza","ambito","tipomza","nom_loc","pobtot","tvivparhab","vph_s_elec","vph_aguafv","vph_ndeaed","pct_sin_elec","pct_sin_agua","pct_sin_servs","pob65","pob02","pobtot_imp","pobtot_imputado","pob65_imp","pob65_imputado","vph_s_elec_imp","vph_s_elec_imputado","vph_aguafv_imp","vph_aguafv_imputado"
"2025","1","m","3105000012555015","31","050","0001","2555","015","Típica","Urbana","31","050","0001","2555","015","Urbana","T","Mérida",55,19,0,0,0,0,0,0,14,0,55,FALSE,14,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000010120012","31","050","0001","0120","012","Típica","Urbana","31","050","0001","0120","012","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,TRUE,10,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000011665018","31","050","0001","1665","018","Típica","Urbana","31","050","0001","1665","018","Urbana","T","Mérida",40,10,0,0,0,0,0,0,NA,NA,40,FALSE,2,TRUE,0,FALSE,0,FALSE
"2025","1","m","3105000013939004","31","050","0001","3939","004","Típica","Urbana","31","050","0001","3939","004","Urbana","T","Mérida",81,31,0,0,0,0,0,0,14,NA,81,FALSE,14,FALSE,0,FALSE,0,FALSE
"2025","1","m","310500001320A009","31","050","0001","320A","009","Típica","Urbana","31","050","0001","320A","009","Urbana","T","Mérida",45,7,0,0,0,0,0,0,5,NA,45,FALSE,5,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015418001","31","050","0001","5418","001","Típica","Urbana","31","050","0001","5418","001","Urbana","T","Mérida",38,11,0,0,0,0,0,0,5,NA,38,FALSE,5,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000011824024","31","050","0001","1824","024","Típica","Urbana","31","050","0001","1824","024","Urbana","T","Mérida",150,37,0,0,0,0,0,0,14,3,150,FALSE,14,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000843568050","31","050","0084","3568","050","Típica","Urbana","31","050","0084","3568","050","Urbana","T","Cholul",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,0,TRUE,0,TRUE,0,TRUE
"2025","1","m","310500001345A011","31","050","0001","345A","011","Típica","Urbana","31","050","0001","345A","011","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,TRUE,4,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000012945012","31","050","0001","2945","012","Típica","Urbana","31","050","0001","2945","012","Urbana","T","Mérida",101,30,0,NA,0,0,NA,0,17,3,101,FALSE,17,FALSE,0,FALSE,0,TRUE
"2025","1","m","3105000012945013","31","050","0001","2945","013","Típica","Urbana","31","050","0001","2945","013","Urbana","T","Mérida",114,33,0,0,0,0,0,0,11,3,114,FALSE,11,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015418008","31","050","0001","5418","008","Típica","Urbana","31","050","0001","5418","008","Urbana","T","Mérida",107,31,0,0,0,0,0,0,9,4,107,FALSE,9,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000016401004","31","050","0001","6401","004","Típica","Urbana","31","050","0001","6401","004","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,TRUE,2,TRUE,0,TRUE,0,TRUE
"2025","1","m","310500001288A018","31","050","0001","288A","018","Típica","Urbana","31","050","0001","288A","018","Urbana","T","Mérida",90,21,0,NA,0,0,NA,0,5,6,90,FALSE,5,FALSE,0,FALSE,0,TRUE
"2025","1","m","3105000013303028","31","050","0001","3303","028","Típica","Urbana","31","050","0001","3303","028","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,TRUE,7,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000012926016","31","050","0001","2926","016","Típica","Urbana","31","050","0001","2926","016","Urbana","T","Mérida",23,7,0,0,0,0,0,0,5,NA,23,FALSE,5,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000011650036","31","050","0001","1650","036","Típica","Urbana","31","050","0001","1650","036","Urbana","T","Mérida",42,10,0,0,0,0,0,0,NA,NA,42,FALSE,3,TRUE,0,FALSE,0,FALSE
"2025","1","m","3105000013708017","31","050","0001","3708","017","Típica","Urbana","31","050","0001","3708","017","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,TRUE,9,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000011345012","31","050","0001","1345","012","Típica","Urbana","31","050","0001","1345","012","Urbana","T","Mérida",72,18,0,0,0,0,0,0,13,4,72,FALSE,13,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000013939001","31","050","0001","3939","001","Típica","Urbana","31","050","0001","3939","001","Urbana","T","Mérida",78,25,0,0,0,0,0,0,11,3,78,FALSE,11,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014636016","31","050","0001","4636","016","Típica","Urbana","31","050","0001","4636","016","Urbana","T","Mérida",82,27,0,0,0,0,0,0,7,0,82,FALSE,7,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000016967006","31","050","0001","6967","006","Típica","Urbana","31","050","0001","6967","006","Urbana","T","Mérida",0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015916056","31","050","0001","5916","056","Típica","Urbana","31","050","0001","5916","056","Urbana","T","Mérida",0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000013981014","31","050","0001","3981","014","Típica","Urbana","31","050","0001","3981","014","Urbana","T","Mérida",131,32,0,0,0,0,0,0,15,8,131,FALSE,15,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000012911030","31","050","0001","2911","030","Típica","Urbana","31","050","0001","2911","030","Urbana","T","Mérida",82,25,0,0,0,0,0,0,7,NA,82,FALSE,7,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014867014","31","050","0001","4867","014","Típica","Urbana","31","050","0001","4867","014","Urbana","T","Mérida",45,19,0,0,0,0,0,0,13,5,45,FALSE,13,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014814034","31","050","0001","4814","034","Típica","Urbana","31","050","0001","4814","034","Urbana","T","Mérida",104,33,0,0,0,0,0,0,NA,NA,104,FALSE,1,TRUE,0,FALSE,0,FALSE
"2025","1","m","3105000012540008","31","050","0001","2540","008","Típica","Urbana","31","050","0001","2540","008","Urbana","T","Mérida",35,15,0,0,0,0,0,0,4,NA,35,FALSE,4,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000013182016","31","050","0001","3182","016","Típica","Urbana","31","050","0001","3182","016","Urbana","T","Mérida",40,15,0,0,0,0,0,0,6,NA,40,FALSE,6,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014829010","31","050","0001","4829","010","Típica","Urbana","31","050","0001","4829","010","Urbana","T","Mérida",0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014068018","31","050","0001","4068","018","Típica","Urbana","31","050","0001","4068","018","Urbana","T","Mérida",46,17,0,0,0,0,0,0,5,NA,46,FALSE,5,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000012930025","31","050","0001","2930","025","Típica","Urbana","31","050","0001","2930","025","Urbana","T","Mérida",54,18,0,0,0,0,0,0,13,NA,54,FALSE,13,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000013708003","31","050","0001","3708","003","Típica","Urbana","31","050","0001","3708","003","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,TRUE,18,TRUE,0,TRUE,0,TRUE
